YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 06 12 13 00 237  2.2  2.5  0.00  0.00  0.00 999 1024.8   7.5 999.0 999.0 99.0 99.00
2006 06 12 14 00 243  0.7  0.9  0.00  0.00  0.00 999 1025.4   6.5 999.0 999.0 99.0 99.00
2006 06 12 15 00 241  1.4  1.4  0.00  0.00  0.00 999 1025.4   6.9 999.0 999.0 99.0 99.00
2006 06 12 16 00 236  1.6  1.7  0.00  0.00  0.00 999 1024.8   7.8 999.0 999.0 99.0 99.00
2006 06 12 17 00 182  1.5  1.7  0.00  0.00  0.00 999 1024.8   8.4 999.0 999.0 99.0 99.00
2006 06 12 18 00 219  1.0  1.0  0.00  0.00  0.00 999 1024.6   9.2 999.0 999.0 99.0 99.00
2006 06 12 19 00 208  1.1  1.2  0.00  0.00  0.00 999 1024.5  10.5 999.0 999.0 99.0 99.00
2006 06 12 20 00 156  1.3  1.4  0.00  0.00  0.00 999 1023.9  11.5 999.0 999.0 99.0 99.00
2006 06 12 21 00 138  3.5  3.6  0.00  0.00  0.00 999 1023.4  10.3 999.0 999.0 99.0 99.00
2006 06 12 22 00 123  2.2  2.3  0.00  0.00  0.00 999 1022.9  10.4 999.0 999.0 99.0 99.00
2006 06 12 23 00 116  2.2  2.3  0.00  0.00  0.00 999 1022.7  10.5 999.0 999.0 99.0 99.00
2006 06 13 00 00 115  1.3  1.4  0.00  0.00  0.00 999 1022.5  10.3 999.0 999.0 99.0 99.00
2006 06 13 01 00 114  2.3  2.4  0.00  0.00  0.00 999 1022.2  10.1 999.0 999.0 99.0 99.00
2006 06 13 02 00  98  2.1  2.3  0.00  0.00  0.00 999 1021.9   9.4 999.0 999.0 99.0 99.00
2006 06 13 03 00 109  2.5  2.7  0.00  0.00  0.00 999 1022.1   9.0 999.0 999.0 99.0 99.00
2006 06 13 04 00 125  3.2  3.4  0.00  0.00  0.00 999 1022.0   8.1 999.0 999.0 99.0 99.00
2006 06 13 05 00 126  4.0  4.4  0.00  0.00  0.00 999 1021.6   7.8 999.0 999.0 99.0 99.00
2006 06 13 06 00  13  1.4  2.1  0.00  0.00  0.00 999 1021.7   6.9 999.0 999.0 99.0 99.00
2006 06 13 07 00  19  2.9  3.1  0.00  0.00  0.00 999 1021.5   6.9 999.0 999.0 99.0 99.00
2006 06 13 08 00  50  1.9  2.3  0.00  0.00  0.00 999 1020.9   6.8 999.0 999.0 99.0 99.00
2006 06 13 09 00   6  1.2  2.0  0.00  0.00  0.00 999 1020.8   6.7 999.0 999.0 99.0 99.00
2006 06 13 10 00  28  1.4  1.9  0.00  0.00  0.00 999 1020.5   7.0 999.0 999.0 99.0 99.00
2006 06 13 11 00  41  2.3  2.6  0.00  0.00  0.00 999 1020.9   6.5 999.0 999.0 99.0 99.00
2006 06 13 12 00  95  1.9  2.2  0.00  0.00  0.00 999 1020.6   6.4 999.0 999.0 99.0 99.00
2006 06 13 13 00 213  1.4  2.1  0.00  0.00  0.00 999 1020.8   6.8 999.0 999.0 99.0 99.00
2006 06 13 14 00 306  1.6  2.7  0.00  0.00  0.00 999 1021.3   7.5 999.0 999.0 99.0 99.00
2006 06 13 15 00 317  3.6  3.8  0.00  0.00  0.00 999 1021.3   8.6 999.0 999.0 99.0 99.00
2006 06 13 16 00 173  2.6  2.8  0.00  0.00  0.00 999 1020.9   8.3 999.0 999.0 99.0 99.00
2006 06 13 17 00 108  2.7  3.0  0.00  0.00  0.00 999 1021.0   6.8 999.0 999.0 99.0 99.00
2006 06 13 18 00 157  3.8  4.9  0.00  0.00  0.00 999 1020.9   6.4 999.0 999.0 99.0 99.00
2006 06 13 19 00 135  3.1  3.6  0.00  0.00  0.00 999 1020.8   7.5 999.0 999.0 99.0 99.00
2006 06 13 20 00  83  1.8  2.6  0.00  0.00  0.00 999 1020.5   8.6 999.0 999.0 99.0 99.00
2006 06 13 21 00  65  2.4  2.8  0.00  0.00  0.00 999 1020.4   7.9 999.0 999.0 99.0 99.00
2006 06 13 22 00  44  3.6  4.0  0.00  0.00  0.00 999 1020.2   6.8 999.0 999.0 99.0 99.00
2006 06 13 23 00  28  4.4  5.5  0.00  0.00  0.00 999 1020.2   6.4 999.0 999.0 99.0 99.00
2006 06 14 00 00  33  2.9  3.3  0.00  0.00  0.00 999 1020.0   6.1 999.0 999.0 99.0 99.00
2006 06 14 01 00  54  4.1  4.6  0.00  0.00  0.00 999 1020.1   6.6 999.0 999.0 99.0 99.00
2006 06 14 02 00  57  4.2  4.5  0.00  0.00  0.00 999 1020.4   6.2 999.0 999.0 99.0 99.00
2006 06 14 03 00  64  4.8  5.5  0.00  0.00  0.00 999 1020.9   5.8 999.0 999.0 99.0 99.00
2006 06 14 04 00  57  6.0  6.8  0.18  2.56  2.67 999 1021.5   6.1 999.0 999.0 99.0 99.00
2006 06 14 05 00  46  4.7  5.2  0.17  2.56  2.66 999 1021.7   5.7 999.0 999.0 99.0 99.00
2006 06 14 06 00  48  4.8  5.3  0.26  2.63  2.73 999 1021.5   5.5 999.0 999.0 99.0 99.00
2006 06 14 07 00  40  6.0  6.9  0.29  2.78  2.82 999 1021.2   5.6 999.0 999.0 99.0 99.00
2006 06 14 08 00  47  5.9  6.4  0.32  2.94  2.90 999 1021.0   6.0 999.0 999.0 99.0 99.00
2006 06 14 09 00  46  6.7  7.6  0.33  3.03  2.90 999 1021.0   6.2 999.0 999.0 99.0 99.00
2006 06 14 10 00  54  6.1  6.8  0.35  2.94  2.92 999 1021.1   6.2 999.0 999.0 99.0 99.00
2006 06 14 11 00  59  6.2  6.8  0.37  2.94  2.92 999 1021.4   6.7 999.0 999.0 99.0 99.00
2006 06 14 12 00  53  6.1  6.8  0.42  3.03  2.97 999 1022.0   6.0 999.0 999.0 99.0 99.00
2006 06 14 13 00  55  5.7  6.6  0.40  3.23  3.04 999 1022.0   5.8 999.0 999.0 99.0 99.00
2006 06 14 14 00  58  5.5  6.0  0.38  3.13  3.08 999 1022.1   5.9 999.0 999.0 99.0 99.00
2006 06 14 15 00  55  6.1  6.8  0.37  3.33  3.07 999 1022.4   6.2 999.0 999.0 99.0 99.00
2006 06 14 16 00  59  6.2  6.9  0.41  3.23  3.09 999 1022.0   6.5 999.0 999.0 99.0 99.00
2006 06 14 17 00  50  5.9  6.4  0.39  3.33  3.08 999 1022.1   6.1 999.0 999.0 99.0 99.00
2006 06 14 18 00  51  4.6  5.0  0.35  3.13  3.07 999 1021.7   6.4 999.0 999.0 99.0 99.00
2006 06 14 19 00  51  5.9  6.9  0.30  3.33  3.06 999 1021.3   6.3 999.0 999.0 99.0 99.00
2006 06 14 20 00  44  6.2  6.8  0.32  3.03  3.03 999 1021.0   6.5 999.0 999.0 99.0 99.00
2006 06 14 21 00  48  6.2  6.8  0.32  3.33  3.01 999 1020.8   6.6 999.0 999.0 99.0 99.00
2006 06 14 22 00  56  5.7  6.5  0.31  3.13  3.00 999 1020.2   6.8 999.0 999.0 99.0 99.00
2006 06 14 23 00  53  5.6  6.2  0.30  3.03  3.01 999 1019.9   7.0 999.0 999.0 99.0 99.00
2006 06 15 00 00  61  5.5  6.1  0.30  2.94  3.03 999 1019.4   7.3 999.0 999.0 99.0 99.00
2006 06 15 01 00  68  5.6  6.0  0.33  3.13  3.08 999 1018.9   7.7 999.0 999.0 99.0 99.00
2006 06 15 02 00  61  5.7  6.2  0.35  3.33  3.14 999 1019.0   7.0 999.0 999.0 99.0 99.00
2006 06 15 03 00  70  5.2  5.5  0.35  3.03  3.11 999 1019.4   6.9 999.0 999.0 99.0 99.00
2006 06 15 04 00  68  4.8  5.3  0.31  3.13  3.16 999 1019.8   6.6 999.0 999.0 99.0 99.00
2006 06 15 05 00  66  4.5  4.9  0.30  3.33  3.12 999 1019.8   6.2 999.0 999.0 99.0 99.00
2006 06 15 06 00  80  4.9  5.4  0.26  3.33  3.09 999 1019.4   6.9 999.0 999.0 99.0 99.00
2006 06 15 07 00  96  4.7  5.0  0.22  3.23  2.98 999 1019.5   7.4 999.0 999.0 99.0 99.00
2006 06 15 08 00 112  3.7  3.9  0.20  3.13  2.93 999 1019.3   7.4 999.0 999.0 99.0 99.00
2006 06 15 09 00 128  4.6  5.0  0.20  2.94  2.93 999 1018.8   8.6 999.0 999.0 99.0 99.00
2006 06 15 10 00  43  1.5  2.5  0.18  2.86  2.92 999 1019.1   8.4 999.0 999.0 99.0 99.00
2006 06 15 11 00  73  2.6  2.8  0.17  2.86  2.89 999 1019.6   8.2 999.0 999.0 99.0 99.00
2006 06 15 12 00  62  3.2  3.4  0.00  0.00  0.00 999 1019.8   7.8 999.0 999.0 99.0 99.00
2006 06 15 13 00  79  3.3  3.9  0.00  0.00  0.00 999 1019.4   7.8 999.0 999.0 99.0 99.00
2006 06 15 14 00  93  1.7  2.2  0.00  0.00  0.00 999 1019.6   8.9 999.0 999.0 99.0 99.00
2006 06 15 15 00 109  1.8  2.0  0.17  2.70  2.81 999 1019.3  10.0 999.0 999.0 99.0 99.00
2006 06 15 16 00  46  3.6  3.9  0.23  2.94  2.95 999 1018.3   7.8 999.0 999.0 99.0 99.00
2006 06 15 17 00  48  5.1  5.6  0.19  2.94  2.89 999 1018.0   6.6 999.0 999.0 99.0 99.00
2006 06 15 18 00  67  5.4  5.9  0.15  2.70  2.78 999 1016.9   7.2 999.0 999.0 99.0 99.00
2006 06 15 19 00  65  5.5  6.3  0.00  0.00  0.00 999 1016.2   7.4 999.0 999.0 99.0 99.00
2006 06 15 20 00  73  5.4  6.0  0.18  2.50  2.65 999 1015.8   7.3 999.0 999.0 99.0 99.00
2006 06 15 21 00  63  5.1  5.6  0.28  2.78  2.80 999 1015.8   7.5 999.0 999.0 99.0 99.00
2006 06 15 22 00  66  5.8  6.4  0.28  3.03  2.89 999 1014.7   7.6 999.0 999.0 99.0 99.00
2006 06 15 23 00  71  5.3  5.8  0.29  2.86  2.92 999 1013.9   7.7 999.0 999.0 99.0 99.00
2006 06 16 00 00  72  4.6  5.2  0.27  3.03  2.97 999 1013.5   8.0 999.0 999.0 99.0 99.00
2006 06 16 01 00  94  4.5  5.0  0.23  3.03  2.98 999 1012.6   9.4 999.0 999.0 99.0 99.00
2006 06 16 02 00  61  2.4  2.7  0.24  3.33  2.96 999 1013.0   8.4 999.0 999.0 99.0 99.00
2006 06 16 03 00  49  2.9  3.5  0.22  2.78  2.95 999 1013.0   9.0 999.0 999.0 99.0 99.00
2006 06 16 04 00  41  3.5  3.8  0.20  3.23  2.94 999 1013.2   7.3 999.0 999.0 99.0 99.00
2006 06 16 05 00  54  3.5  3.7  0.18  2.94  2.93 999 1013.0   7.4 999.0 999.0 99.0 99.00
2006 06 16 06 00 132  4.2  4.5  0.20  2.94  3.03 999 1012.2  11.9 999.0 999.0 99.0 99.00
2006 06 16 07 00 134  4.6  4.8  0.19  3.23  3.06 999 1012.0  11.4 999.0 999.0 99.0 99.00
2006 06 16 08 00 139  4.7  5.0  0.21  3.33  3.16 999 1011.2  11.3 999.0 999.0 99.0 99.00
2006 06 16 09 00 134  3.5  3.7  0.21  3.57  3.20 999 1011.2  11.2 999.0 999.0 99.0 99.00
2006 06 16 10 00 142  4.5  4.9  0.22  3.33  3.13 999 1010.8  12.0 999.0 999.0 99.0 99.00
2006 06 16 11 00  87  2.9  3.1  0.23  3.33  3.14 999 1010.6  11.8 999.0 999.0 99.0 99.00
2006 06 16 12 00 101  3.1  3.3  0.21  3.23  3.09 999 1010.7  11.0 999.0 999.0 99.0 99.00
2006 06 16 13 00  93  4.0  4.5  0.22  3.03  3.08 999 1011.0  10.4 999.0 999.0 99.0 99.00
2006 06 16 14 00 146  4.4  5.1  0.21  3.13  3.20 999 1010.3  15.0 999.0 999.0 99.0 99.00
2006 06 16 15 00 122  3.8  4.0  0.24  3.33  3.12 999 1010.4  11.7 999.0 999.0 99.0 99.00
2006 06 16 16 00 131  3.9  4.4  0.23  3.33  3.10 999 1009.9  12.7 999.0 999.0 99.0 99.00
2006 06 16 17 00 145  3.5  3.6  0.24  3.45  3.17 999 1010.1  12.7 999.0 999.0 99.0 99.00
2006 06 16 18 00 146  3.3  4.1  0.23  3.33  3.14 999 1010.1  16.5 999.0 999.0 99.0 99.00
2006 06 16 19 00 130  4.4  4.5  0.20  2.94  3.00 999 1009.5  14.6 999.0 999.0 99.0 99.00
2006 06 16 20 00 105  3.7  3.9  0.19  3.03  3.06 999 1009.2  13.2 999.0 999.0 99.0 99.00
2006 06 16 21 00  94  4.1  4.4  0.15  3.03  2.98 999 1008.6  15.0 999.0 999.0 99.0 99.00
2006 06 16 22 00 115  3.6  4.3  0.16  3.03  3.01 999 1008.0  13.8 999.0 999.0 99.0 99.00
2006 06 16 23 00 150  3.1  3.5  0.00  0.00  0.00 999 1007.5  14.6 999.0 999.0 99.0 99.00
2006 06 17 00 00  27  4.0  4.4  0.00  0.00  0.00 999 1007.9 999.0 999.0 999.0 99.0 99.00
2006 06 17 01 00  50  4.3  4.9  0.00  0.00  0.00 999 1007.9   8.1 999.0 999.0 99.0 99.00
2006 06 17 02 00  81  1.8  2.6  0.00  0.00  0.00 999 1008.8   8.0 999.0 999.0 99.0 99.00
2006 06 17 03 00  79  2.1  2.6  0.00  0.00  0.00 999 1008.6   8.2 999.0 999.0 99.0 99.00
2006 06 17 04 00  98  1.4  1.8  0.00  0.00  0.00 999 1008.8   7.9 999.0 999.0 99.0 99.00
2006 06 17 05 00 316  1.5  3.8  0.00  0.00  0.00 999 1008.6  12.0 999.0 999.0 99.0 99.00
2006 06 17 06 00 174  0.9  1.2  0.00  0.00  0.00 999 1007.8  11.5 999.0 999.0 99.0 99.00
2006 06 17 07 00  69  2.3  2.7  0.00  0.00  0.00 999 1007.3  10.5 999.0 999.0 99.0 99.00
2006 06 17 08 00 133  1.1  1.4  0.00  0.00  0.00 999 1007.6  10.6 999.0 999.0 99.0 99.00
2006 06 17 09 00 209  3.1  3.5  0.00  0.00  0.00 999 1007.4  12.9 999.0 999.0 99.0 99.00
2006 06 17 10 00 250  4.8  6.6  0.16  2.78  2.92 999 1008.0  11.2 999.0 999.0 99.0 99.00
2006 06 17 11 00 247  2.9  3.9  0.00  0.00  0.00 999 1008.5  10.0 999.0 999.0 99.0 99.00
2006 06 17 12 00 253  2.6  3.1  0.00  0.00  0.00 999 1008.6  10.8 999.0 999.0 99.0 99.00
2006 06 17 13 00 204  3.8  4.3  0.00  0.00  0.00 999 1008.8   9.2 999.0 999.0 99.0 99.00
2006 06 17 14 00 198  5.0  5.6  0.00  0.00  0.00 999 1008.3  10.5 999.0 999.0 99.0 99.00
2006 06 17 15 00 197  4.0  4.2  0.00  0.00  0.00 999 1007.9  10.5 999.0 999.0 99.0 99.00
2006 06 17 16 00 192  4.9  5.1  0.00  0.00  0.00 999 1007.6  10.9 999.0 999.0 99.0 99.00
2006 06 17 17 00 212  3.3  3.5  0.00  0.00  0.00 999 1007.9  11.0 999.0 999.0 99.0 99.00
2006 06 17 18 00 209  1.6  1.8  0.00  0.00  0.00 999 1007.0  12.7 999.0 999.0 99.0 99.00
2006 06 17 19 00 295  2.8  3.1  0.00  0.00  0.00 999 1005.9  15.4 999.0 999.0 99.0 99.00
2006 06 17 20 00  47  0.6  1.0  0.00  0.00  0.00 999 1005.7  12.5 999.0 999.0 99.0 99.00
2006 06 17 21 00 145  2.2  3.2  0.00  0.00  0.00 999 1005.4  13.3 999.0 999.0 99.0 99.00
2006 06 17 22 00  67  3.7  4.2  0.00  0.00  0.00 999 1004.5  14.6 999.0 999.0 99.0 99.00
2006 06 17 23 00 131  2.5  2.6  0.00  0.00  0.00 999 1003.9  16.3 999.0 999.0 99.0 99.00
2006 06 18 00 00  14  1.6  3.3  0.00  0.00  0.00 999 1004.4  15.9 999.0 999.0 99.0 99.00
2006 06 18 01 00  90  3.2  3.6  0.00  0.00  0.00 999 1003.8  12.8 999.0 999.0 99.0 99.00
2006 06 18 02 00 245  0.5  1.0  0.00  0.00  0.00 999 1003.7  15.7 999.0 999.0 99.0 99.00
2006 06 18 03 00 201  2.6  3.0  0.00  0.00  0.00 999 1004.8  10.0 999.0 999.0 99.0 99.00
2006 06 18 04 00 244  2.8  3.7  0.00  0.00  0.00 999 1004.7  10.0 999.0 999.0 99.0 99.00
2006 06 18 05 00 208  4.3  4.9  0.00  0.00  0.00 999 1005.1  10.6 999.0 999.0 99.0 99.00
2006 06 18 06 00 253  4.4  5.0  0.00  0.00  0.00 999 1004.4  11.8 999.0 999.0 99.0 99.00
2006 06 18 07 00 222  4.3  4.7  0.00  0.00  0.00 999 1004.2  10.4 999.0 999.0 99.0 99.00
2006 06 18 08 00 226  5.5  5.8  0.00  0.00  0.00 999 1004.7  10.3 999.0 999.0 99.0 99.00
2006 06 18 09 00 218  6.2  6.8  0.00  0.00  0.00 999 1004.4  11.0 999.0 999.0 99.0 99.00
2006 06 18 11 00 226  5.7  6.2  0.29  2.63  2.80 999 1004.9   9.6 999.0 999.0 99.0 99.00
2006 06 18 12 00 227  5.5  6.0  0.33  2.70  2.81 999 1005.0   9.5 999.0 999.0 99.0 99.00
2006 06 18 13 00 215  5.9  6.3  0.50  3.57  3.25 999 1005.4   8.9 999.0 999.0 99.0 99.00
2006 06 18 14 00 211  6.2  7.1  0.55  4.00  3.46 999 1005.3   9.4 999.0 999.0 99.0 99.00
2006 06 18 15 00 213  6.7  7.2  0.59  4.17  3.64 999 1005.4   9.4 999.0 999.0 99.0 99.00
2006 06 18 16 00 211  6.1  6.6  0.68  4.76  3.79 999 1005.1   9.2 999.0 999.0 99.0 99.00
2006 06 18 17 00 205  6.8  7.4  0.66  4.55  3.72 999 1005.2   9.9 999.0 999.0 99.0 99.00
2006 06 18 18 00 214  7.4  8.1  0.71  4.35  3.60 999 1004.6  11.1 999.0 999.0 99.0 99.00
2006 06 18 19 00 215  6.8  7.4  0.66  4.55  3.63 999 1004.5  11.5 999.0 999.0 99.0 99.00
2006 06 18 20 00 230  6.6  7.4  0.63  4.35  3.62 999 1004.2  12.5 999.0 999.0 99.0 99.00
2006 06 18 21 00 237  8.0  9.0  0.67  4.35  3.58 999 1003.8  14.1 999.0 999.0 99.0 99.00
2006 06 18 22 00 248  9.0  9.9  0.77  4.17  3.61 999 1003.7  14.8 999.0 999.0 99.0 99.00
2006 06 18 23 00 248  7.5  8.1  0.81  4.17  3.68 999 1004.0  13.2 999.0 999.0 99.0 99.00
2006 06 19 00 00 247  7.2  7.8  0.88  4.55  3.80 999 1004.2  12.7 999.0 999.0 99.0 99.00
2006 06 19 01 00 248  6.7  7.4  0.85  4.76  3.88 999 1004.5  11.5 999.0 999.0 99.0 99.00
2006 06 19 02 00 255  7.9  8.7  0.84  4.76  3.85 999 1004.6  12.9 999.0 999.0 99.0 99.00
2006 06 19 03 00 244  6.6  7.1  0.74  4.55  3.85 999 1005.2  11.1 999.0 999.0 99.0 99.00
2006 06 19 04 00 243  4.7  5.6  0.66  4.55  3.77 999 1005.6   9.8 999.0 999.0 99.0 99.00
2006 06 19 05 00 249  5.2  5.7  0.65  4.55  3.94 999 1005.6   9.4 999.0 999.0 99.0 99.00
2006 06 19 06 00 255  5.5  6.0  0.63  4.55  3.85 999 1005.3  10.3 999.0 999.0 99.0 99.00
2006 06 19 07 00 242  5.3  5.8  0.59  4.55  3.87 999 1005.2  10.1 999.0 999.0 99.0 99.00
2006 06 19 08 00 242  5.3  5.7  0.60  4.35  3.82 999 1005.3   9.8 999.0 999.0 99.0 99.00
2006 06 19 09 00 239  5.5  6.0  0.54  4.00  3.69 999 1005.6   9.8 999.0 999.0 99.0 99.00
2006 06 19 10 00 247  6.0  6.5  0.51  4.55  3.50 999 1005.8   9.7 999.0 999.0 99.0 99.00
2006 06 19 11 00 249  5.9  6.7  0.48  4.17  3.54 999 1006.5   9.5 999.0 999.0 99.0 99.00
2006 06 19 12 00 282  5.2  5.6  0.44  4.17  3.52 999 1007.6   9.6 999.0 999.0 99.0 99.00
2006 06 19 13 00 342  6.0  7.1  0.53  4.35  3.56 999 1008.8  10.1 999.0 999.0 99.0 99.00
2006 06 19 14 00 319  3.3  4.4  0.53  4.17  3.58 999 1010.1   9.3 999.0 999.0 99.0 99.00
2006 06 19 15 00 308  4.0  4.4  0.47  4.35  3.55 999 1011.2   8.9 999.0 999.0 99.0 99.00
2006 06 19 16 00 305  3.6  3.9  0.44  4.35  3.54 999 1012.2   9.3 999.0 999.0 99.0 99.00
2006 06 19 17 00 285  2.9  3.5  0.37  4.00  3.49 999 1012.7   9.0 999.0 999.0 99.0 99.00
2006 06 19 18 00 258  4.1  4.4  0.37  4.17  3.33 999 1013.0  10.6 999.0 999.0 99.0 99.00
2006 06 19 19 00 247  4.7  5.3  0.38  4.00  3.23 999 1013.6   9.8 999.0 999.0 99.0 99.00
2006 06 19 20 00 240  4.7  5.2  0.36  4.00  3.30 999 1013.9  10.1 999.0 999.0 99.0 99.00
2006 06 19 21 00 238  4.3  4.6  0.34  3.85  3.24 999 1013.9   9.8 999.0 999.0 99.0 99.00
2006 06 19 22 00 238  4.9  5.3  0.27  3.33  3.16 999 1014.0  10.8 999.0 999.0 99.0 99.00
2006 06 19 23 00 222  4.4  4.7  0.22  3.03  3.11 999 1014.1  10.2 999.0 999.0 99.0 99.00
2006 06 20 00 00 218  4.4  4.8  0.19  3.45  3.06 999 1014.5   9.7 999.0 999.0 99.0 99.00
2006 06 20 01 00 221  4.3  4.5  0.21  2.94  2.97 999 1014.4  10.2 999.0 999.0 99.0 99.00
2006 06 20 02 00 206  3.5  3.7  0.20  2.56  2.88 999 1014.5   9.2 999.0 999.0 99.0 99.00
2006 06 20 03 00 216  3.8  4.4  0.21  2.86  2.89 999 1014.6  10.1 999.0 999.0 99.0 99.00
2006 06 20 04 00 236  3.9  4.1  0.18  2.50  2.83 999 1014.7  10.0 999.0 999.0 99.0 99.00
2006 06 20 05 00 240  4.8  5.2  0.00  0.00  0.00 999 1014.9  10.9 999.0 999.0 99.0 99.00
2006 06 20 06 00 247  4.0  4.3  0.15  2.78  3.00 999 1015.1  10.1 999.0 999.0 99.0 99.00
2006 06 20 07 00 235  3.5  3.6  0.00  0.00  0.00 999 1015.3   9.6 999.0 999.0 99.0 99.00
2006 06 20 08 00 266  1.8  2.4  0.00  0.00  0.00 999 1015.6  12.0 999.0 999.0 99.0 99.00
2006 06 20 09 00 283  4.3  4.9  0.00  0.00  0.00 999 1016.1  11.8 999.0 999.0 99.0 99.00
2006 06 20 10 00 234  2.8  4.3  0.00  0.00  0.00 999 1016.1  11.3 999.0 999.0 99.0 99.00
2006 06 20 11 00 235  1.6  2.0  0.18  2.78  2.94 999 1015.9  10.6 999.0 999.0 99.0 99.00
2006 06 20 12 00 195  2.9  3.1  0.15  2.63  2.81 999 1014.8   9.4 999.0 999.0 99.0 99.00
2006 06 20 13 00 222  4.5  4.8  0.00  0.00  0.00 999 1015.7   9.5 999.0 999.0 99.0 99.00
2006 06 20 14 00 243  3.7  4.3  0.00  0.00  0.00 999 1016.6  10.5 999.0 999.0 99.0 99.00
2006 06 20 15 00 245  2.6  2.8  0.15  3.57  3.02 999 1015.7  10.2 999.0 999.0 99.0 99.00
2006 06 20 16 00 209  3.5  3.8  0.00  0.00  0.00 999 1015.8  11.0 999.0 999.0 99.0 99.00
2006 06 20 17 00 183  2.7  2.9  0.00  0.00  0.00 999 1015.9  10.6 999.0 999.0 99.0 99.00
2006 06 20 18 00 183  3.0  3.2  0.00  0.00  0.00 999 1015.5  10.3 999.0 999.0 99.0 99.00
2006 06 20 19 00 233  1.7  2.1  0.00  0.00  0.00 999 1015.0  12.8 999.0 999.0 99.0 99.00
2006 06 20 20 00 263  1.8  1.9  0.00  0.00  0.00 999 1014.1  14.7 999.0 999.0 99.0 99.00
2006 06 20 21 00 285  1.2  1.6  0.00  0.00  0.00 999 1013.2  15.3 999.0 999.0 99.0 99.00
2006 06 20 22 00 101  2.7  3.1  0.00  0.00  0.00 999 1012.9  13.3 999.0 999.0 99.0 99.00
2006 06 20 23 00 154  3.3  3.5  0.00  0.00  0.00 999 1012.3  12.4 999.0 999.0 99.0 99.00
2006 06 21 00 00 147  2.4  2.6  0.00  0.00  0.00 999 1011.9  12.2 999.0 999.0 99.0 99.00
2006 06 21 01 00 177  3.7  4.1  0.00  0.00  0.00 999 1011.6  12.4 999.0 999.0 99.0 99.00
2006 06 21 02 00 183  4.9  5.2  0.00  0.00  0.00 999 1011.7  12.6 999.0 999.0 99.0 99.00
2006 06 21 03 00 206  2.3  2.8  0.00  0.00  0.00 999 1012.1  12.7 999.0 999.0 99.0 99.00
2006 06 21 04 00 177  2.4  2.7  0.00  0.00  0.00 999 1011.8  12.6 999.0 999.0 99.0 99.00
2006 06 21 05 00 123  3.3  3.5  0.00  0.00  0.00 999 1011.0  11.3 999.0 999.0 99.0 99.00
2006 06 21 06 00 132  3.0  3.2  0.00  0.00  0.00 999 1010.6  11.4 999.0 999.0 99.0 99.00
2006 06 21 07 00 130  2.5  2.6  0.00  0.00  0.00 999 1010.3  11.1 999.0 999.0 99.0 99.00
2006 06 21 08 00 134  3.4  3.6  0.00  0.00  0.00 999 1009.2  11.3 999.0 999.0 99.0 99.00
2006 06 21 09 00 162  4.2  4.5  0.00  0.00  0.00 999 1008.6  11.4 999.0 999.0 99.0 99.00
2006 06 21 10 00 177  4.1  4.4  0.00  0.00  0.00 999 1008.5  10.8 999.0 999.0 99.0 99.00
2006 06 21 11 00 186  3.3  3.5  0.00  0.00  0.00 999 1008.5  10.7 999.0 999.0 99.0 99.00
2006 06 21 12 00 204  3.1  3.3  0.00  0.00  0.00 999 1008.0  11.4 999.0 999.0 99.0 99.00
2006 06 21 13 00 226  3.0  3.4  0.00  0.00  0.00 999 1007.5  11.2 999.0 999.0 99.0 99.00
2006 06 21 14 00 246  1.2  1.3  0.00  0.00  0.00 999 1007.4  11.5 999.0 999.0 99.0 99.00
2006 06 21 15 00 171  3.8  4.1  0.00  0.00  0.00 999 1007.4  10.4 999.0 999.0 99.0 99.00
2006 06 21 16 00 195  4.4  4.8  0.00  0.00  0.00 999 1007.1  11.3 999.0 999.0 99.0 99.00
2006 06 21 17 00 179  4.2  4.4  0.00  0.00  0.00 999 1005.7  12.0 999.0 999.0 99.0 99.00
2006 06 21 18 00 183  3.3  3.8  0.00  0.00  0.00 999 1004.5  12.4 999.0 999.0 99.0 99.00
2006 06 21 19 00 176  4.9  5.4  0.00  0.00  0.00 999 1003.9  13.4 999.0 999.0 99.0 99.00
2006 06 21 20 00 112  2.4  2.6  0.00  0.00  0.00 999 1004.6  12.3 999.0 999.0 99.0 99.00
2006 06 21 21 00 238  5.9  8.1  0.00  0.00  0.00 999 1003.8  15.4 999.0 999.0 99.0 99.00
2006 06 21 22 00 245 10.4 11.8  0.49  2.86  2.96 999 1003.8  15.9 999.0 999.0 99.0 99.00
2006 06 21 23 00 256  7.8  8.8  0.94  4.35  3.67 999 1004.9  13.5 999.0 999.0 99.0 99.00
2006 06 22 00 00 261  6.8  7.6  0.93  4.55  4.03 999 1005.7  13.3 999.0 999.0 99.0 99.00
2006 06 22 01 00 293  5.7  6.6  1.04  5.00  4.16 999 1006.6  13.0 999.0 999.0 99.0 99.00
2006 06 22 02 00 286  7.3  8.8  0.91  4.76  4.10 999 1007.1  13.9 999.0 999.0 99.0 99.00
2006 06 22 03 00 267  5.8  8.3  0.83  4.76  4.05 999 1008.2  14.0 999.0 999.0 99.0 99.00
2006 06 22 04 00 254  4.6  5.0  0.76  4.76  4.03 999 1009.0  11.8 999.0 999.0 99.0 99.00
2006 06 22 05 00 274  4.6  5.0  0.64  4.76  3.95 999 1008.9  12.7 999.0 999.0 99.0 99.00
