YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 26 08 00 264  9.2 10.4  0.91  4.00  3.70 999 1012.5   5.6   2.5 999.0 99.0 99.00
2006 04 26 09 00 258  9.9 11.3  1.03  4.55  3.79 999 1011.8   6.0   2.4 999.0 99.0 99.00
2006 04 26 10 00 257 10.0 11.5  1.14  4.55  3.93 999 1011.6   5.9   2.4 999.0 99.0 99.00
2006 04 26 11 00 257 10.3 12.0  1.21  4.55  3.99 999 1011.2   5.4   2.5 999.0 99.0 99.00
2006 04 26 12 00 258  9.7 11.3  1.21  4.76  4.04 999 1011.3   5.4   2.5 999.0 99.0 99.00
2006 04 26 13 00 261 10.4 11.9  1.27  5.00  4.14 999 1011.5   5.5   2.5 999.0 99.0 99.00
2006 04 26 14 00 266  9.4 10.9  1.28  5.00  4.27 999 1012.1   5.1   2.5 999.0 99.0 99.00
2006 04 26 15 00 263  8.2  9.6  1.21  5.26  4.18 999 1012.4   4.6   2.5 999.0 99.0 99.00
2006 04 26 16 00 264  7.0  8.0  1.17  5.26  4.21 999 1012.8   4.9   2.6 999.0 99.0 99.00
2006 04 26 17 00 258  6.0  6.8  0.99  5.26  4.18 999 1012.8   4.7   2.6 999.0 99.0 99.00
2006 04 26 18 00  54  4.7  6.3  0.84  4.76  4.11 999 1013.1   4.6   2.6 999.0 99.0 99.00
2006 04 26 19 00 114  5.7  7.0  0.73  4.76  4.10 999 1012.6   3.7   2.7 999.0 99.0 99.00
2006 04 26 20 00 107  5.5  6.1  0.58  5.00  3.93 999 1012.1   3.4   2.7 999.0 99.0 99.00
2006 04 26 21 00 120  4.8  5.5  0.52  4.17  3.62 999 1011.6   3.5   2.6 999.0 99.0 99.00
2006 04 26 22 00 105  4.2  9.1  0.48  4.76  3.54 999 1011.1   4.1   2.7 999.0 99.0 99.00
2006 04 26 23 00  73  2.6  3.4  0.41  4.76  3.49 999 1011.1   3.6   2.7 999.0 99.0 99.00
2006 04 27 00 00  53  3.3  3.6  0.42  4.76  3.40 999 1011.1   3.6   2.6 999.0 99.0 99.00
2006 04 27 01 00  48  3.9  4.7  0.39  2.94  3.39 999 1011.7   3.5   2.6 999.0 99.0 99.00
2006 04 27 02 00  68  6.4  7.4  0.39  3.13  3.33 999 1012.4   3.8   2.6 999.0 99.0 99.00
2006 04 27 03 00  66  6.6  8.1  0.50  3.23  3.25 999 1013.4   4.2   2.6 999.0 99.0 99.00
2006 04 27 04 00  79  4.8  5.5  0.60  3.57  3.36 999 1014.3   3.8   2.5 999.0 99.0 99.00
2006 04 27 05 00  76  3.5  3.9  0.54  3.57  3.50 999 1014.7   3.5   2.5 999.0 99.0 99.00
2006 04 27 06 00  48  3.6  4.1  0.50  3.85  3.52 999 1015.6   3.2   2.5 999.0 99.0 99.00
2006 04 27 07 00  44  4.6  5.3  0.41  3.70  3.41 999 1016.1   3.0   2.5 999.0 99.0 99.00
2006 04 27 08 00  52  3.9  4.4  0.37  3.57  3.36 999 1016.6   3.2   2.5 999.0 99.0 99.00
2006 04 27 09 00  46  3.5  3.9  0.31  3.57  3.33 999 1017.1   3.3   2.5 999.0 99.0 99.00
2006 04 27 10 00  53  4.4  4.9  0.25  3.33  3.27 999 1017.7   3.2   2.5 999.0 99.0 99.00
2006 04 27 11 00  71  6.3  7.4  0.22  3.33  3.27 999 1018.1   3.0   2.5 999.0 99.0 99.00
2006 04 27 12 00  74  6.8  8.0  0.37  2.56  2.90 999 1018.7   3.1   2.5 999.0 99.0 99.00
2006 04 27 13 00  74  6.8  7.7  0.63  3.23  3.26 999 1019.8   3.1   2.5 999.0 99.0 99.00
2006 04 27 14 00  74  7.0  8.0  0.72  4.00  3.55 999 1020.5   3.0   2.5 999.0 99.0 99.00
2006 04 27 15 00  74  7.7  9.1  0.73  4.00  3.55 999 1020.7   2.7   2.5 999.0 99.0 99.00
2006 04 27 16 00  77  7.4  8.5 99.00 99.00 99.00 999 1021.4   3.2   3.1 999.0 99.0 99.00
2006 04 27 17 00  74  7.3  8.8  0.77  4.17  3.64 999 1021.6   2.8   2.8 999.0 99.0 99.00
2006 04 27 18 00  66  7.9  9.3  0.82  4.35  3.66 999 1021.8   2.4   2.6 999.0 99.0 99.00
2006 04 27 19 00  66  7.7  8.7  0.88  4.17  3.73 999 1021.7   2.3   2.6 999.0 99.0 99.00
2006 04 27 20 00  69  7.5  9.3  0.87  4.17  3.68 999 1021.8   2.4   2.6 999.0 99.0 99.00
2006 04 27 21 00  72  7.2  8.6  0.87  4.17  3.68 999 1021.6   3.2   3.3 999.0 99.0 99.00
2006 04 27 22 00  70  6.9  8.2  0.79  4.35  3.77 999 1021.5   3.3   3.2 999.0 99.0 99.00
2006 04 27 23 00  77  6.9  8.4  0.85  4.55  3.80 999 1021.4   2.8   2.7 999.0 99.0 99.00
2006 04 28 00 00  74  6.9  8.1  0.90  4.55  3.81 999 1021.2   2.6   2.6 999.0 99.0 99.00
