#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 05 04 21 50  14  2.5  2.8  0.14 99.00  3.77 999 1019.2   3.5   2.8 999.0 99.0 99.00
2017 05 04 22 50 326  1.6  2.1  0.11 99.00  3.49 999 1019.2   3.2   2.7 999.0 99.0 99.00
2017 05 04 23 50 334  4.0  5.1  0.10 99.00  3.50 999 1019.7   3.7   2.7 999.0 99.0 99.00
2017 05 05 00 50 129  2.6  2.9  0.11 99.00  3.59 999 1019.3   3.5   2.6 999.0 99.0 99.00
2017 05 05 01 50  43  2.6  2.9  0.09 99.00  3.37 999 1019.6   3.4   2.6 999.0 99.0 99.00
2017 05 05 02 50  55  2.7  3.1  0.11 99.00  3.47 999 1019.6   3.3   2.6 999.0 99.0 99.00
2017 05 05 03 50  45  3.1  3.5  0.08 99.00  3.39 999 1019.3   3.4   2.5 999.0 99.0 99.00
2017 05 05 04 50  75  3.1  3.7  0.08 99.00  3.29 999 1019.0   3.5   2.5 999.0 99.0 99.00
2017 05 05 05 50  60  3.2  3.5  0.08 99.00  3.39 999 1019.0   3.3   2.5 999.0 99.0 99.00
2017 05 05 06 50  45  4.0  4.4  0.09 99.00  3.28 999 1018.8   3.4   2.5 999.0 99.0 99.00
2017 05 05 07 50  61  3.8  4.3  0.08 99.00  3.44 999 1018.4   3.6   2.5 999.0 99.0 99.00
2017 05 05 08 50  47  2.5  3.1  0.12 99.00  3.16 999 1018.3   3.4   2.5 999.0 99.0 99.00
2017 05 05 09 50  58  3.6  4.5  0.08 99.00  3.17 999 1017.9   3.4   2.5 999.0 99.0 99.00
2017 05 05 10 50  82  4.2  4.9  0.09 99.00  3.16 999 1017.7   3.2   2.5 999.0 99.0 99.00
2017 05 05 11 50  84  3.2  3.9  0.09 99.00  2.81 999 1018.1   3.1   2.5 999.0 99.0 99.00
2017 05 05 12 50  83  2.5  3.1  0.10 99.00  2.72 999 1018.3   3.1   2.5 999.0 99.0 99.00
2017 05 05 13 50  93  1.9  2.2  0.08 99.00  3.02 999 1018.0   3.1   2.5 999.0 99.0 99.00
2017 05 05 14 50  80  2.7  3.0  0.08 99.00  2.81 999 1017.7   3.3   2.6 999.0 99.0 99.00
2017 05 05 15 50 151  1.5  1.9  0.08 99.00  2.83 999 1016.8   3.4   2.6 999.0 99.0 99.00
2017 05 05 16 50 111  3.4  4.1  0.07 99.00  2.95 999 1015.8   3.3   2.6 999.0 99.0 99.00
2017 05 05 17 50  88  1.1  1.6  0.10 99.00  3.11 999 1015.1   3.3   2.6 999.0 99.0 99.00
2017 05 05 18 50  67  2.8  3.7  0.12 99.00  2.80 999 1014.6   3.1   2.6 999.0 99.0 99.00
2017 05 05 19 50  43  2.7  4.1  0.14 99.00  2.90 999 1014.2   2.9   2.6 999.0 99.0 99.00
2017 05 05 20 50  85  4.8  5.8  0.17 99.00  3.04 999 1013.0   2.8   2.6 999.0 99.0 99.00
2017 05 05 21 50  66  5.2  6.3  0.21 99.00  2.91 999 1012.9   2.8   2.6 999.0 99.0 99.00
2017 05 05 22 50 127  4.6  5.6  0.26  4.17  2.95  75 1012.0   2.8   2.6 999.0 99.0 99.00
2017 05 05 23 50  46  7.3  8.7  0.40  4.00  2.80  57 1013.0   2.6   2.6 999.0 99.0 99.00
2017 05 06 00 50  55  1.9  2.8  0.40  2.74  2.96  79 1012.7   2.6   2.5 999.0 99.0 99.00
2017 05 06 01 50   4  4.7  5.6  0.38  4.35  3.29 271 1013.2   2.6   2.5 999.0 99.0 99.00
2017 05 06 02 50  51  2.9  3.5  0.32  4.00  3.02  74 1013.3   2.5   2.5 999.0 99.0 99.00
2017 05 06 03 50  88  3.4  4.2  0.28  4.00  3.12  79 1012.9   2.5   2.5 999.0 99.0 99.00
2017 05 06 04 50 350  3.7  4.3  0.23 99.00  3.05 999 1013.6   1.5   2.5 999.0 99.0 99.00
2017 05 06 05 50 354  3.0  4.5  0.21 99.00  2.98 999 1013.7   2.0   2.5 999.0 99.0 99.00
2017 05 06 06 50 353  3.6  4.0  0.22 99.00  3.00 999 1013.9   2.8   2.5 999.0 99.0 99.00
2017 05 06 07 50 342  1.9  2.3  0.20 99.00  2.92 999 1013.7   3.0   2.5 999.0 99.0 99.00
2017 05 06 08 50 340  3.4  3.8  0.19 99.00  3.00 999 1013.9   3.4   2.5 999.0 99.0 99.00
2017 05 06 09 50 329  3.6  4.2  0.17 99.00  3.07 999 1014.4   3.4   2.5 999.0 99.0 99.00
2017 05 06 10 50 357  5.3  6.1  0.15 99.00  3.03 999 1015.0   3.6   2.5 999.0 99.0 99.00
2017 05 06 11 50 360  5.8  6.7  0.24 99.00  2.69 999 1015.9   3.6   2.5 999.0 99.0 99.00
2017 05 06 12 50 360  5.0  5.6  0.33  2.74  2.82  46 1016.9   3.7   2.5 999.0 99.0 99.00
2017 05 06 13 50   6  5.4  6.6  0.38  3.45  2.93  58 1017.5   3.5   2.5 999.0 99.0 99.00
2017 05 06 14 50  20  6.4  7.5 99.00 99.00 99.00 999 1018.0   3.4   2.5 999.0 99.0 99.00
2017 05 06 15 50  23  5.6  6.7  0.44  3.70  3.12  58 1018.6   3.3   2.6 999.0 99.0 99.00
2017 05 06 16 50  21  5.1  5.9  0.54  3.85  3.27  58 1018.7   3.4   2.6 999.0 99.0 99.00
2017 05 06 17 50  39  2.9  3.7  0.61  3.85  3.57  47 1018.7   3.4   2.6 999.0 99.0 99.00
2017 05 06 18 50 107  2.8  3.0  0.51  4.35  3.63  67 1018.2   3.7   2.6 999.0 99.0 99.00
