#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 05 03 18 00  58  5.2  5.8  0.23  2.63  2.77 999 1026.3   3.1 999.0 999.0 99.0 99.00
2007 05 03 19 00  50  6.7  7.4  0.31  2.78  2.79 999 1025.6   3.1 999.0 999.0 99.0 99.00
2007 05 03 20 00  59  7.4  8.2  0.43  2.86  2.92 999 1024.9   3.7 999.0 999.0 99.0 99.00
2007 05 03 21 00  56  8.3  9.2  0.54  3.23  3.09 999 1024.0   4.0 999.0 999.0 99.0 99.00
2007 05 03 22 00  57  8.8  9.9  0.63  3.45  3.22 999 1023.6   4.3 999.0 999.0 99.0 99.00
2007 05 03 23 00  63  9.0 10.2  0.71  3.70  3.40 999 1023.1   4.0 999.0 999.0 99.0 99.00
2007 05 04 00 00  64  9.1 10.7  0.91  4.17  3.65 999 1022.8   4.0 999.0 999.0 99.0 99.00
2007 05 04 01 00  68  8.5 10.0  0.94  4.17  3.78 999 1022.4   4.3 999.0 999.0 99.0 99.00
2007 05 04 02 00  73  8.2  9.1  0.84  4.35  3.68 999 1022.3   4.8 999.0 999.0 99.0 99.00
2007 05 04 03 00  75  7.5  8.7  0.81  4.17  3.70 999 1022.5   4.6 999.0 999.0 99.0 99.00
2007 05 04 04 00  91  7.4  8.6  0.76  4.17  3.65 999 1022.6   4.6 999.0 999.0 99.0 99.00
2007 05 04 05 00 106  6.9  7.7  0.89  4.35  3.80 999 1023.0   4.7 999.0 999.0 99.0 99.00
2007 05 04 06 00 106  6.0  6.6  0.77  4.35  3.80 999 1023.4   5.0 999.0 999.0 99.0 99.00
2007 05 04 07 00 109  6.2  7.0  0.72  4.00  3.70 999 1023.3   4.6 999.0 999.0 99.0 99.00
2007 05 04 08 00 111  5.9  6.5  0.70  4.35  3.68 999 1023.1   4.9 999.0 999.0 99.0 99.00
2007 05 04 09 00 103  4.4  4.7  0.57  4.17  3.67 999 1023.4   4.2 999.0 999.0 99.0 99.00
2007 05 04 10 00 107  5.4  5.9  0.48  4.00  3.55 999 1023.4   4.5 999.0 999.0 99.0 99.00
2007 05 04 11 00 113  5.6  6.3  0.42  4.00  3.49 999 1023.5   4.7 999.0 999.0 99.0 99.00
2007 05 04 12 00 110  5.8  6.4  0.39  3.70  3.26 999 1023.5   5.2 999.0 999.0 99.0 99.00
2007 05 04 13 00  70  5.2  5.7  0.35  3.57  3.27 999 1023.7   4.2 999.0 999.0 99.0 99.00
2007 05 04 14 00  90  6.0  6.7  0.33  3.45  3.13 999 1023.4   4.2 999.0 999.0 99.0 99.00
2007 05 04 15 00  87  5.8  6.4  0.35  3.45  3.05 999 1023.4   4.3 999.0 999.0 99.0 99.00
2007 05 04 16 00  72  6.8  7.7  0.46  3.45  3.12 999 1022.9   4.8 999.0 999.0 99.0 99.00
2007 05 04 17 00  70  6.3  7.0  0.52  3.23  3.18 999 1022.9   4.3 999.0 999.0 99.0 99.00
2007 05 04 18 00  63  6.9  7.5  0.56  3.33  3.21 999 1022.3   5.1 999.0 999.0 99.0 99.00
2007 05 04 19 00  55  7.8  9.0  0.56  3.45  3.23 999 1021.4   4.5 999.0 999.0 99.0 99.00
2007 05 04 20 00  56  8.1  9.1  0.65  3.57  3.30 999 1020.9   4.6 999.0 999.0 99.0 99.00
2007 05 04 21 00  60  8.5  9.6  0.72  4.00  3.52 999 1020.2   5.2 999.0 999.0 99.0 99.00
