#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 13 20 50 199  2.0  2.9  0.01 99.00  4.77 999 1014.6  11.9   6.7 999.0 99.0 99.00
2012 03 13 21 50  52  1.4  1.8  0.01 99.00  4.70 999 1014.5   8.6   6.9 999.0 99.0 99.00
2012 03 13 22 50  69  0.8  1.6  0.01 99.00  4.52 999 1014.0   8.9   7.0 999.0 99.0 99.00
2012 03 13 23 50  33  1.0  2.1  0.01 99.00  5.21 999 1013.9   8.4   6.6 999.0 99.0 99.00
2012 03 14 00 50  54  0.9  1.4  0.01 99.00  4.54 999 1013.8   5.7   6.1 999.0 99.0 99.00
2012 03 14 01 50  26  0.9  2.1  0.01 99.00  4.71 999 1013.6   7.0   5.5 999.0 99.0 99.00
2012 03 14 02 50  30  1.6  2.5  0.01 99.00  5.08 999 1013.2   7.7   5.4 999.0 99.0 99.00
2012 03 14 03 50  18  1.2  1.8  0.01 99.00  4.63 999 1012.7   7.6   5.3 999.0 99.0 99.00
2012 03 14 04 50  17  1.1  1.8  0.01 99.00  4.74 999 1012.2   8.1   5.3 999.0 99.0 99.00
2012 03 14 05 50 358  1.0  2.0  0.01 99.00  4.43 999 1011.7   6.0   5.1 999.0 99.0 99.00
2012 03 14 06 50  24  0.8  1.6  0.01 99.00  4.76 999 1011.4   6.2   4.7 999.0 99.0 99.00
2012 03 14 07 50  30  1.4  2.7  0.01 99.00  4.54 999 1010.9   3.9   4.3 999.0 99.0 99.00
2012 03 14 08 50  30  1.5  3.2  0.01 99.00  4.77 999 1010.1   3.3   3.9 999.0 99.0 99.00
2012 03 14 09 50  22  1.0  2.7  0.01 99.00  4.57 999 1009.5   3.1   3.5 999.0 99.0 99.00
2012 03 14 10 50  35  0.6  2.8  0.01 99.00  4.77 999 1009.0   3.1   3.3 999.0 99.0 99.00
2012 03 14 11 50  44  1.8  3.4  0.01 99.00  4.44 999 1008.5   3.5   3.2 999.0 99.0 99.00
2012 03 14 12 50  63  0.6  2.2  0.01 99.00  4.82 999 1008.6   3.6   3.1 999.0 99.0 99.00
