#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 01 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.0 999.0 99.0 99.00
2012 03 01 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.1 999.0 99.0 99.00
2012 03 01 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.4 999.0 99.0 99.00
2012 03 02 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.1 999.0 99.0 99.00
2012 03 02 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.1 999.0 99.0 99.00
2012 03 02 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.2 999.0 99.0 99.00
2012 03 02 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.1 999.0 99.0 99.00
2012 03 03 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.2 999.0 99.0 99.00
2012 03 03 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  -0.4 999.0 99.0 99.00
2012 03 07 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.6 999.0 99.0 99.00
2012 03 08 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.5 999.0 99.0 99.00
2012 03 10 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.1 999.0 99.0 99.00
2012 03 11 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.9 999.0 99.0 99.00
2012 03 11 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.8 999.0 99.0 99.00
2012 03 11 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.4 999.0 99.0 99.00
2012 03 11 18 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.0 999.0 99.0 99.00
2012 03 12 00 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.8 999.0 99.0 99.00
2012 03 12 06 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.8 999.0 99.0 99.00
2012 03 12 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.7 999.0 99.0 99.00
2012 03 13 14 50 204  1.0  2.6 99.00 99.00 99.00 999 1016.1   4.2   1.9 999.0 99.0 99.00
2012 03 13 15 50 201  1.9  3.7  0.00 99.00  4.52 999 1016.0   5.7   2.7 999.0 99.0 99.00
2012 03 13 16 50 216  0.9  2.6  0.00 99.00  4.34 999 1016.2   7.5   3.4 999.0 99.0 99.00
2012 03 13 17 50 194  0.9  2.4  0.05 99.00  6.47 999 1016.1   9.2   3.9 999.0 99.0 99.00
2012 03 13 18 50 211  1.0  2.5  0.00 99.00  4.64 999 1015.6  10.6   4.4 999.0 99.0 99.00
2012 03 13 19 50 199  2.2  3.9  0.00 99.00  4.56 999 1014.8  11.9   4.7 999.0 99.0 99.00
2012 03 13 20 50 196  2.7  4.0  0.00 99.00  4.15 999 1014.4  12.2   5.6 999.0 99.0 99.00
2012 03 13 21 50  47  1.5  2.0  0.00 99.00  4.11 999 1014.4   8.6   5.9 999.0 99.0 99.00
2012 03 13 22 50  65  1.0  2.1  0.00 99.00  4.56 999 1013.8   8.7   6.8 999.0 99.0 99.00
2012 03 13 23 50  27  1.0  1.9  0.01 99.00  4.38 999 1013.7   8.4   6.6 999.0 99.0 99.00
2012 03 14 00 50  50  0.9  1.4  0.00 99.00  4.46 999 1013.7   5.9   6.1 999.0 99.0 99.00
2012 03 14 01 50  23  1.0  2.1  0.01 99.00  4.99 999 1013.5   7.2   5.5 999.0 99.0 99.00
2012 03 14 02 50  26  1.5  2.5  0.00 99.00  4.09 999 1013.1   7.8   5.4 999.0 99.0 99.00
2012 03 14 03 50  13  1.3  2.0  0.00 99.00  4.33 999 1012.6   7.6   5.3 999.0 99.0 99.00
2012 03 14 04 50  15  1.2  2.1  0.00 99.00  4.54 999 1012.0   8.2   5.3 999.0 99.0 99.00
2012 03 14 05 50 350  1.0  2.4  0.00 99.00  4.32 999 1011.6   6.1   5.1 999.0 99.0 99.00
2012 03 14 06 50  21  0.9  2.0  0.00 99.00  4.59 999 1011.3   6.3   4.9 999.0 99.0 99.00
2012 03 14 07 50  25  1.5  2.9  0.00 99.00  4.51 999 1010.8   4.0   4.4 999.0 99.0 99.00
2012 03 14 08 50  25  1.7  3.4  0.01 99.00  5.00 999 1010.0   3.5   3.9 999.0 99.0 99.00
2012 03 14 09 50  21  1.3  2.6  0.00 99.00  4.25 999 1009.4   3.3   3.6 999.0 99.0 99.00
2012 03 14 10 50  30  0.6  2.3  0.01 99.00  4.79 999 1008.8   3.3   3.4 999.0 99.0 99.00
2012 03 14 11 50  40  1.8  3.3  0.00 99.00  4.73 999 1008.3   3.7   3.3 999.0 99.0 99.00
2012 03 14 12 50  59  0.6  2.3  0.00 99.00  4.45 999 1008.4   3.8   3.2 999.0 99.0 99.00
2012 03 14 13 50 137  0.6  2.0  0.01 99.00  5.41 999 1008.8   3.9   3.0 999.0 99.0 99.00
2012 03 14 14 50  42  0.8  2.3  0.00 99.00  4.70 999 1008.9   4.9   3.2 999.0 99.0 99.00
2012 03 14 15 50  42  1.5  3.2  0.00 99.00  4.55 999 1008.7   5.6   3.5 999.0 99.0 99.00
2012 03 14 16 50  37  0.8  1.8  0.00 99.00  4.53 999 1008.8   6.2   3.8 999.0 99.0 99.00
2012 03 14 17 50  72  0.3  1.5  0.00 99.00  4.76 999 1008.4   7.2   4.0 999.0 99.0 99.00
2012 03 14 18 50  29  0.7  1.5  0.00 99.00  4.69 999 1008.4   8.5   4.3 999.0 99.0 99.00
2012 03 14 19 50  64  1.3  2.1  0.00 99.00  4.33 999 1008.2   8.8   5.0 999.0 99.0 99.00
2012 03 14 20 50  58  0.8  1.8  0.00 99.00  4.54 999 1008.3   8.6   5.3 999.0 99.0 99.00
2012 03 14 21 50  51  0.5  1.5  0.00 99.00  4.45 999 1009.0   7.3   5.6 999.0 99.0 99.00
2012 03 14 22 50 169  0.4  1.0  0.00 99.00  4.59 999 1009.3   8.1   5.9 999.0 99.0 99.00
2012 03 14 23 50  44  0.5  1.5  0.00 99.00  4.60 999 1010.0  10.3   6.3 999.0 99.0 99.00
2012 03 15 00 50 332  2.2  5.4  0.00 99.00  4.40 999 1010.9 999.0   8.2 999.0 99.0 99.00
2012 03 15 01 50 328  2.7  7.4  0.00 99.00  4.27 999 1011.6  15.1   9.9 999.0 99.0 99.00
2012 03 15 02 50   1  1.9  5.3  0.00 99.00  4.47 999 1012.1  13.7   9.9 999.0 99.0 99.00
2012 03 15 03 50  62  2.3  5.1  0.00 99.00  4.37 999 1013.2  11.5   9.1 999.0 99.0 99.00
2012 03 15 04 50  20  2.3  5.0  0.00 99.00  4.42 999 1014.3  10.7   8.5 999.0 99.0 99.00
2012 03 15 05 50  46  1.6  4.4  0.00 99.00  4.61 999 1014.9   8.6   8.0 999.0 99.0 99.00
2012 03 15 06 50   3  0.8  1.7  0.00 99.00  4.45 999 1015.8   7.3   7.2 999.0 99.0 99.00
2012 03 15 07 50 354  1.4  2.4  0.00 99.00  4.25 999 1016.5   7.0   6.6 999.0 99.0 99.00
2012 03 15 08 50 353  2.0  3.4  0.00 99.00  4.47 999 1016.8   7.5   6.5 999.0 99.0 99.00
2012 03 15 09 50 355  2.1  3.3  0.00 99.00  4.67 999 1017.4   7.2   6.0 999.0 99.0 99.00
2012 03 15 10 50  18  1.1  2.2  0.00 99.00  4.45 999 1018.1   6.1   5.9 999.0 99.0 99.00
2012 03 15 11 50   3  1.1  2.0  0.00 99.00  4.76 999 1018.8   6.4   5.5 999.0 99.0 99.00
2012 03 15 12 50  13  0.8  1.9  0.01 99.00  5.15 999 1019.4   6.3   5.4 999.0 99.0 99.00
2012 03 15 13 50 244  0.7  1.2  0.00 99.00  4.85 999 1019.9   3.6   4.8 999.0 99.0 99.00
2012 03 15 14 50 165  1.0  2.1  0.00 99.00  4.35 999 1020.5   4.6   4.6 999.0 99.0 99.00
2012 03 15 15 50  55  1.1  1.8  0.00 99.00  4.44 999 1020.4   5.4   5.4 999.0 99.0 99.00
2012 03 15 16 50  47  2.2  3.4  0.00 99.00  4.70 999 1019.7   5.1   5.9 999.0 99.0 99.00
2012 03 15 17 50  41  2.7  4.1  0.00 99.00  4.73 999 1019.3   4.8   6.0 999.0 99.0 99.00
2012 03 15 18 50  41  2.9  4.5  0.00 99.00  4.20 999 1019.1   5.5   6.3 999.0 99.0 99.00
2012 03 15 19 50  38  2.2  4.2  0.00 99.00  4.12 999 1018.4   6.0   6.6 999.0 99.0 99.00
2012 03 15 20 50  27  1.3  3.2  0.00 99.00  4.31 999 1018.6   5.9   6.7 999.0 99.0 99.00
2012 03 15 21 50  42  0.8  2.0  0.00 99.00  4.24 999 1018.7   6.2   6.7 999.0 99.0 99.00
2012 03 15 22 50  35  1.2  3.0  0.00 99.00  4.83 999 1018.1   5.3   6.7 999.0 99.0 99.00
